bill	type	chamber	roll	date	yeas	nays	question	last_of_chamber	title	disposition	reason
HB1017	B	house	1542128	2025-04-09	68	19	passage	True	To Amend The Law Regarding Paid Maternity Leave For Public School Employees; And To Require The Division Of Elementary And Secondary Education To Pay For Incurred Costs For Approved Paid Maternity Leave.	batch-01	imported
HB1094	B	house	1485207	2025-02-10	72	18	passage	False	An Act For The Department Of Health - Tobacco Prevention And Cessation Programs Appropriation For The 2025-2026 Fiscal Year.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1094	B	house	1501525	2025-02-27	70	19	passage	False	An Act For The Department Of Health - Tobacco Prevention And Cessation Programs Appropriation For The 2025-2026 Fiscal Year.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1094	B	house	1519688	2025-03-18	68	17	passage	False	An Act For The Department Of Health - Tobacco Prevention And Cessation Programs Appropriation For The 2025-2026 Fiscal Year.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1150	B	senate	1542117	2025-04-09	26	9	passage	True	To Prohibit A Pharmacy Benefits Manager From Obtaining Certain Pharmacy Permits.	batch-01	imported
HB1204	B	house	1476262	2025-01-29	71	18	passage	True	To Establish Recovery Of Damages For Necessary Medical Care, Treatment, Or Services Rendered.	dropped	caps recovery for past medical expenses at what was paid or is still owed rather than what was billed. No area fits: corporate_accountability needs a company-specific target and this binds every plaintiff and defendant
HB1204	B	senate	1483135	2025-02-06	18	17	passage	True	To Establish Recovery Of Damages For Necessary Medical Care, Treatment, Or Services Rendered.	dropped	caps recovery for past medical expenses at what was paid or is still owed rather than what was billed. No area fits: corporate_accountability needs a company-specific target and this binds every plaintiff and defendant
HB1217	B	senate	1506232	2025-03-05	20	6	passage	True	To Establish The Interstate Massage Compact In Arkansas.	dropped	joins the Interstate Massage Compact, and the compact itself only takes effect once a seventh state enacts it. Licensing portability is a thin fit for government_efficiency and the act changed nothing on passage
HB1221	B	senate	1491742	2025-02-18	25	8	passage	True	To Amend Arkansas Law Concerning Initiatives, Referenda, And Constitutional Amendments; And To Declare An Emergency.	batch-02	imported
HB1222	B	house	1485094	2025-02-10	62	30	passage	True	To Require The Attorney General To Review Ballot Titles For Conflicts With The United States Constitution And Federal Statutes; And To Prohibit The Submission Of Conflicting Initiative Petitions And Referendum Petitions.	batch-02	imported
HB1222	B	senate	1491745	2025-02-18	25	8	passage	True	To Require The Attorney General To Review Ballot Titles For Conflicts With The United States Constitution And Federal Statutes; And To Prohibit The Submission Of Conflicting Initiative Petitions And Referendum Petitions.	batch-02	imported
HB1265	B	house	1502033	2025-02-27	57	31	passage	False	An Act For The University Of Arkansas At Little Rock Appropriation For The 2025-2026 Fiscal Year.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1265	B	house	1539218	2025-04-07	70	18	passage	False	An Act For The University Of Arkansas At Little Rock Appropriation For The 2025-2026 Fiscal Year.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1272	B	senate	1521704	2025-03-19	13	6	passage	False	To Amend The Law Concerning Property Vacated By A Municipality; And To Require Vested Abandoned Property Be Conveyed With The Abutting Real Estate.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1318	B	house	1483695	2025-02-06	63	17	passage	True	To Amend The Excursion Train Permit To Include Excursion Boats.	dropped	extends a $200 excursion train alcohol permit to excursion boats. Outside the taxonomy and low salience
HB1365	B	house	1506186	2025-03-05	61	27	passage	False	To Remove Racial And Gender Quotas And Qualifications Of Membership For Certain Boards, Committees, Councils, And Commissions.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1365	B	house	1536151	2025-04-03	60	24	passage	True	To Remove Racial And Gender Quotas And Qualifications Of Membership For Certain Boards, Committees, Councils, And Commissions.	batch-02	imported
HB1365	B	senate	1548505	2025-04-15	24	6	passage	True	To Remove Racial And Gender Quotas And Qualifications Of Membership For Certain Boards, Committees, Councils, And Commissions.	batch-02	imported
HB1382	B	house	1488939	2025-02-13	53	18	passage	False	To Require Certain Reporting By The Designated Protection And Advocacy Agency For The State And The Designated Client Assistance Program For The State.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1424	B	senate	1540985	2025-04-08	23	6	passage	True	To Mandate Coverage For Severe Obesity Treatments.	batch-03	imported
HB1428	B	senate	1547861	2025-04-14	18	14	passage	True	To Amend The Law Regarding Public Lodging; And To Provide A Bed Height Requirement For Mobility Accessible Rooms.	batch-02	imported
HB1476	B	house	1532476	2025-04-01	56	23	passage	True	To Amend The Direct Shipment Of Vinous Liquor Act; And To Establish A Wine Direct Shipper License.	dropped	loosens direct wine shipping in several ways at once while dropping other protections; no single direction
HB1476	B	senate	1542144	2025-04-09	22	12	passage	True	To Amend The Direct Shipment Of Vinous Liquor Act; And To Establish A Wine Direct Shipper License.	dropped	loosens direct wine shipping in several ways at once while dropping other protections; no single direction
HB1489	B	house	1504355	2025-03-04	67	23	passage	True	To Amend The Method Of Execution To Include Nitrogen Gas.	batch-04	imported
HB1489	B	senate	1513562	2025-03-11	26	9	passage	True	To Amend The Method Of Execution To Include Nitrogen Gas.	batch-04	imported
HB1491	B	house	1538487	2025-04-07	55	27	passage	True	Concerning The Excise Tax On Certain Beer And Sake; To Create An Excise Tax Credit For Certain Beer And Sake Produced Using Arkansas Rice; And For Other Purposes.	dropped	creates an excise tax credit for beer and sake made with Arkansas rice. No area fits
HB1491	B	senate	1547075	2025-04-14	23	12	passage	True	Concerning The Excise Tax On Certain Beer And Sake; To Create An Excise Tax Credit For Certain Beer And Sake Produced Using Arkansas Rice; And For Other Purposes.	dropped	creates an excise tax credit for beer and sake made with Arkansas rice. No area fits
HB1503	B	house	1508182	2025-03-06	67	19	passage	True	To Amend The Law Concerning Municipal Regulations; And To Prohibit Certain Restrictions On The Regulation Of Accessory Dwelling Units.	batch-03	imported
HB1510	B	house	1501338	2025-02-27	50	25	passage	False	To Repeal The Authority For A Municipality To Exercise Territorial Jurisdiction Over An Unincorporated Area Of A County.	dropped	repeals a city's territorial jurisdiction over nearby unincorporated county land. An intergovernmental authority question, the same ground SB 571 was dropped on in batch-01
HB1510	B	house	1504577	2025-03-04	51	30	passage	True	To Repeal The Authority For A Municipality To Exercise Territorial Jurisdiction Over An Unincorporated Area Of A County.	dropped	repeals a city's territorial jurisdiction over nearby unincorporated county land. An intergovernmental authority question, the same ground SB 571 was dropped on in batch-01
HB1574	B	senate	1530915	2025-03-31	25	8	passage	True	To Amend The Law Concerning Paid Canvassers; And To Require Domicile In Arkansas.	batch-02	imported
HB1615	B	house	1535890	2025-04-03	66	17	passage	True	To Amend The Law Concerning Religious Nondiscrimination.	dropped	expands protection for conduct grounded in religious belief about sex and marriage while narrowing protection for same-sex couples and transgender people. Two directions inside civil_rights itself
HB1625	B	house	1545166	2025-04-10	60	25	passage	True	To Amend The Law Concerning Insurance Requirements For Licensed Home Inspectors.	dropped	changes insurance requirements for licensed home inspectors. Narrow and no area fits
HB1627	B	house	1539730	2025-04-08	58	17	passage	True	To Amend The Law Concerning Property Tax Relief; And To Require Counties To Provide Notice To Taxpayers Concerning Certain Property Tax Relief Offered Under Arkansas Law.	batch-03	imported
HB1630	B	senate	1541233	2025-04-08	28	7	passage	True	To Add A Misdemeanor Controlled Substance Offense To The Predicate Offenses For Capital Murder, Murder In The First Degree, And Manslaughter.	dropped	lets a misdemeanor drug delivery be the predicate for capital murder. Harsher homicide liability is a contested direction inside public safety, not a settled one
HB1633	B	senate	1521794	2025-03-19	22	9	passage	True	To Amend Eligibility Requirements For Participating In Extracurricular Activities For Certain Students Who Transfer Schools; And To Declare An Emergency.	dropped	loosens some transfer eligibility rules for school sports and tightens others on the same subject
HB1641	B	senate	1540907	2025-04-08	20	6	passage	True	To Amend The Law Concerning Harassment; And To Include The Use Of A Tracking Device In The Offense Of Harassment.	batch-04	imported
HB1646	B	senate	1546882	2025-04-14	16	6	passage	False	To Require Certain Materials To Be Stored In Locked Compartments Within A Designated Area.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1669	B	senate	1530951	2025-03-31	15	10	passage	False	To Create The Keep Kids First Act; And To Provide For Protections From Discrimination For Adoption And Foster Care Providers Acting In Accordance With Sincerely Held Religious Beliefs.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1683	B	senate	1548554	2025-04-15	19	9	passage	True	To Prohibit The Procurement By A Governmental Entity Of An Electric Vehicle Or A Component Of An Electric Vehicle That Was Manufactured In Whole Or In Part Using Forced Labor.	batch-03	imported
HB1705	B	house	1521274	2025-03-19	76	19	passage	True	To Require Information Concerning How The Religious And Moral Beliefs Of The Founding Fathers Influenced The Founding Of The United States To Be Embedded Into Existing Social Studies Standards.	dropped	requires teaching how the founders' religious and moral beliefs shaped the founding. No area carries an honest direction on curriculum content
HB1713	B	house	1519700	2025-03-18	60	23	passage	True	To Require Ballot Titles For Initiated Measures To Be At Or Under A Certain Reading Level; And To Declare An Emergency.	batch-01	imported
