bill	chamber	roll	date	yeas	nays	desc	status
SB1950	H	1581480	2025-05-29	63	42	Third Reading in House	screened:no-defensible-stance — End-of-Life Options for Terminally Ill Patients Act — no area carries an honest direction for medical aid in dying (recorded in batch-01)
SB1950	S	1719303	2025-10-30	30	27	Senate Concurrence	screened:no-defensible-stance — End-of-Life Options for Terminally Ill Patients Act — no area carries an honest direction for medical aid in dying (recorded in batch-01)
HB2755	S	1582781	2025-05-31	31	25	Third Reading in Senate	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB2755	H	1582782	2025-05-31	71	43	Concurrence in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB0008	S	1545154	2025-04-10	33	19	Third Reading in Senate	judged:batch-01
SB0008	H	1580413	2025-05-28	69	40	Third Reading in House	judged:batch-01
HB3247	H	1580454	2025-05-28	70	40	Third Reading in House	judged:batch-02
HB3247	S	1582610	2025-05-31	32	20	Third Reading in Senate	judged:batch-02
SB0106	S	1537171	2025-04-04	32	19	Third Reading in Senate	screened:no-defensible-stance — authorises ICJIA to enter service agreements
SB0106	H	1574217	2025-05-20	72	40	Third Reading in House	screened:no-defensible-stance — authorises ICJIA to enter service agreements
HB3772	H	1544731	2025-04-10	62	46	Third Reading in House	screened:version-split — the roll that adopted the enacted text (house concurrence 72-40, 2026-05-30) is outside the divided set, and Senate Cmte Amendment 2 added a school-board liability shield cutting against the bill
HB3772	S	1582716	2025-05-31	30	21	Third Reading in Senate	screened:version-split — the roll that adopted the enacted text (house concurrence 72-40, 2026-05-30) is outside the divided set, and Senate Cmte Amendment 2 added a school-board liability shield cutting against the bill
HB3772	H	1720677	2026-05-30	72	40	House Concurrence	screened:version-split — the roll that adopted the enacted text (house concurrence 72-40, 2026-05-30) is outside the divided set, and Senate Cmte Amendment 2 added a school-board liability shield cutting against the bill
HB1075	S	1582889	2025-05-31	32	23	Third Reading in Senate	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB1075	H	1582890	2025-05-31	74	41	Concurrence in House	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
SB0108	S	1544368	2025-04-10	35	19	Third Reading in Senate	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB0108	H	1574219	2025-05-20	70	40	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB2339	S	1544480	2025-04-10	35	21	Third Reading in Senate	judged:batch-01
SB2339	H	1582511	2025-05-31	75	42	Third Reading in House	judged:batch-01
SB2339	S	1717513	2025-10-30	37	20	Senate Concurrence	screened:duplicate-chamber — SB 2339’s Senate slot is already filled by batch-01 roll 1544480, whose description already states that the House removed the E-Verify limits and that the narrower version became law
HB0460	H	1574246	2025-05-20	70	40	Third Reading in House	judged:batch-02
HB0460	S	1582161	2025-05-30	34	18	Third Reading in Senate	judged:batch-02
SB0025	H	1722387	2025-10-29	70	37	House Third Reading	judged:batch-08
SB0025	S	1722388	2025-10-30	37	22	Senate Concurrence	judged:batch-08
SB3019	S	1718412	2026-05-31	36	19	Senate Concurrence	screened:no-defensible-stance — Targeted Advertising Services Tax — a revenue measure with no area direction
SB3019	H	1718414	2026-05-31	73	41	House Third Reading	screened:no-defensible-stance — Targeted Advertising Services Tax — a revenue measure with no area direction
HB0022	S	1581393	2025-05-29	33	21	Third Reading in Senate	screened:local-or-narrow — one village, district or fee; not a statewide position
HB0022	H	1582363	2025-05-31	77	40	Concurrence in House	screened:local-or-narrow — one village, district or fee; not a statewide position
HB5290	H	1717102	2026-04-09	70	36	House Third Reading	screened:no-defensible-stance — Sales Finance Agency licensing mechanics
HB5290	S	1717103	2026-05-14	36	19	Senate Third Reading	screened:no-defensible-stance — Sales Finance Agency licensing mechanics
SB3333	S	1719621	2026-04-15	35	18	Senate Third Reading	screened:contested-direction — sentence credit for pretrial custody reads as both rehabilitation and reduced time served
SB3333	H	1719622	2026-05-29	70	37	House Third Reading	screened:contested-direction — sentence credit for pretrial custody reads as both rehabilitation and reduced time served
SB1467	S	1541611	2025-04-09	37	19	Third Reading in Senate	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB1467	H	1575316	2025-05-21	72	38	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB2436	H	1544809	2025-04-10	68	41	Third Reading in House	judged:batch-02
HB2436	S	1582066	2025-05-30	37	19	Third Reading in Senate	judged:batch-02
SB0328	H	1582364	2025-05-31	77	40	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB0328	S	1582833	2025-05-31	37	19	Concurrence in Senate	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB4304	H	1716924	2026-04-14	72	37	House Third Reading	judged:batch-05
HB4304	S	1716925	2026-05-31	37	19	Senate Third Reading	judged:batch-05
SB3341	S	1717532	2026-05-20	37	19	Senate Third Reading	judged:batch-01
SB3341	H	1717533	2026-05-27	73	38	House Third Reading	judged:batch-01
HB3248	H	1542150	2025-04-09	71	42	Third Reading in House	screened:superseded-roll — HB 3248 — the House later voted the enacted Senate version (roll 1582292); that concurrence is the imported roll
HB3248	S	1576075	2025-05-22	37	19	Third Reading in Senate	judged:batch-07
HB3248	H	1582292	2025-05-30	76	39	Concurrence in House	judged:batch-07
SB2437	S	1582772	2025-05-31	36	19	Concurrence in Senate	judged:batch-03 — imported with official_vote_date 2025-06-01 (ILGA action trail)
SB2437	H	1582774	2025-05-31	76	39	Third Reading in House	judged:batch-02
HB3125	H	1540551	2025-04-08	75	38	Third Reading in House	screened:no-defensible-stance — driving-instructor licence prerequisites
HB3125	S	1576580	2025-05-22	37	20	Third Reading in Senate	screened:no-defensible-stance — driving-instructor licence prerequisites
SB2164	S	1541985	2025-04-09	37	19	Third Reading in Senate	judged:batch-02
SB2164	H	1576215	2025-05-22	75	38	Third Reading in House	judged:batch-02
HB2568	H	1545195	2025-04-10	75	38	Third Reading in House	screened:superseded-roll — another roll on this measure was judged in batch-02 under the one-roll-per-chamber rule
HB2568	S	1581586	2025-05-29	36	19	Third Reading in Senate	judged:batch-02
HB2568	H	1582443	2025-05-31	77	40	Concurrence in House	screened:superseded-roll — another roll on this measure was judged in batch-02 under the one-roll-per-chamber rule
SB3255	S	1721085	2026-05-31	37	21	Senate Concurrence	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
SB3255	H	1721086	2026-05-31	77	39	House Third Reading	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB3637	H	1538632	2025-04-07	67	39	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB3637	S	1576080	2025-05-22	38	19	Third Reading in Senate	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB3637	H	1582263	2025-05-30	75	39	Concurrence in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB3709	H	1539767	2025-04-08	74	40	Third Reading in House	screened:superseded-roll — HB 3709 — the House later voted the enacted Senate version (roll 1582505); that concurrence is the imported roll
