# idx|decision|note   decision: K=keep  U=untag  A:for / A:against = untag + add anti_corruption stance
0|U|budget record; not ethics
1|K|federal indictment pending
2|K|pleaded not guilty, case pending
3|U|already anti_corruption:for; reform bill
4|U|review board finding overruled by chief; final determination justified (edge)
5|U|court dismissed claims against him
6|U|board appointment
7|U|complaint he filed against opponent
8|U|state found no violation
9|U|media finding, no official action
10|K|arrested
11|U|board of inquiry found no misconduct
12|U|policy blocked by judge; not personal conduct
13|U|court ruled official instruction unlawful; policy dispute
14|U|sanction awarded TO him
15|U|disclosed a coding error
16|U|complied with court order
17|U|accepted responsibility for typo
18|K|ethics board declined to waive late fees; fees assessed
19|U|committee appointment
20|U|statement responding to OCR finding against district
21|U|PDC found no violation
22|U|PDC no evidence of violation
23|U|unrelated bill
24|K|PDC violation, $250 penalty
25|K|PDC violation, $5,000 penalty
26|K|PDC violation, $30,000 fines
27|K|barred from commission meetings for rule violations
28|U|his department searched others; action against others
29|U|duplicate of 28
30|U|reinstatement ruled unlawful; personnel/policy ruling
31|K|rebuffed oversight subpoenas (edge: documented non-compliance)
32|K|bar admonishment + probation
33|U|disputed endorsement claim, no official action
34|U|signed open letter
35|U|contested party reorganization
36|A:against|voted against campaign-contribution/disclosure bill
37|U|routine pay law
38|U|action against another member
39|K|$20,355 in assessed fines
40|U|court ruling on policy order
41|U|endorsement received
42|U|disqualification affidavit denied; allegations unsubstantiated
43|K|Commissioner found her office failed to respond promptly (edge: office-level finding)
44|U|staff reports, no official action
45|U|supervised office; scrutiny only
46|K|House Ethics Committee found rule violation
47|U|complaint filed, no finding
48|U|social post, residents complained, no official action
49|U|judicial philosophy statement
50|U|formal protest over rules
51|U|led votes
52|U|referred allegations about someone else
53|U|electoral-vote objection; a vote, not conduct finding
54|K|did not comply with congressional subpoena per final report (edge)
55|A:for|voted for Epstein Files Transparency Act
56|A:for|his fraud-prevention accountability act passed
57|U|lost a First Amendment challenge he brought
58|K|court order restricting filings after abusive litigation
59|K|court sanction for frivolous filings
60|U|AG review reported, no finding (edge)
61|U|FEC dismissed / no violation
62|U|fistfight reported, no official action (edge)
63|U|court affirmed dismissal of claims
64|U|called for investigation of someone else
65|U|impeachment vote on someone else
66|K|formal reprimand by Rules and Ethics Committee
67|U|unrelated bill
68|K|Judicial Conduct Commission charged; suspension
69|K|suspended without pay
70|U|FEC dismissed
71|K|dismissal from medical school for lack of professionalism upheld
72|U|inquiry reported no concerns
73|U|administrative bar suspension not characterized as misconduct
74|U|lawyer in a case
75|K|employment ended after disciplinary hearing; Brady list
76|U|Ethics Committee dismissed complaint
77|U|indicted but charges later dismissed (see 79)
78|K|Senate President revoked equipment access for misuse
79|U|charges dismissed
80|U|endorsement listing
81|U|court dismissed complaint against him
82|U|called for someone else's resignation
83|U|represented a child in appeal
84|U|co-sponsored unrelated bill
85|U|co-sponsored unrelated bill
86|U|commission membership
87|U|co-sponsored unrelated law
88|U|media report of donations and committee inaction; no official action
89|U|aide's firm; report said no law broken
90|U|asked for an audit of a program
91|A:for|voted for transparency/oversight of directed funds
92|K|nine criminal cases incl. battery and child neglect charges in court records
93|A:for|wrote law barring campaign funds for felony legal costs
94|U|ethics guidance requested and received
95|U|ethics commission permitted pro bono work
96|U|already anti_corruption:for; enacted ethics ordinance
97|K|attorney-discipline reprimand
98|U|chaired meeting, directed disclosures
99|K|censured and fined $1
100|K|indefinite attorney suspension
101|K|public reprimand
102|K|indefinite suspension
103|K|disbarred
104|U|appointed judge
105|U|retained by voters
106|U|retained by voters
107|U|acquitted of all charges
108|U|mandamus action dismissed
109|U|chaired committee investigating someone else
110|U|resolution honoring term limits
111|U|already anti_corruption:for
112|U|unrelated bill
113|U|constituent complaint filed, no action
114|U|summary judgment in his favor
115|U|unrelated bill
116|K|PDC written warning for late reports (edge: minor)
117|A:for|voted for ethics-rule tightening
118|A:for|voted for ethics-rule strengthening
119|U|FEC dismissed
120|U|he sued and won against a false report
121|U|sued by another, no outcome
122|U|media report of posts, no official action
123|U|unrelated bill
124|U|impeachment-court vote on someone else
125|U|requested AG opinion
126|K|suspended 30 days by Supreme Court
127|K|found guilty of assault
128|U|unrelated bill
129|U|county settled; jury finding not attributed to him personally (edge)
130|A:for|co-sponsored blind-trust ethics bill
131|U|appointed to Conduct Committee
132|U|motion at board meeting
133|K|ethics board declined to waive late fee
134|U|personal bankruptcy; not ethics
135|U|already anti_corruption:against; records ruling
136|K|ombudsman substantiated three complaints incl. purchasing-code violations
137|U|settlement without adjudication
138|K|public reprimand for DUI-related misconduct
139|U|requested advisory opinion
140|U|FEC closed, no penalty
141|K|repaid improperly used courthouse funds (edge: admission)
142|U|spoke at council
143|U|court ruled for him
144|U|PDC dismissed, no penalty
145|K|admitted late C-1, $200 penalty
146|U|sued to block records release
147|U|court ordered records released; not a misconduct finding
148|U|posted own records
149|K|one-day suspension
150|K|one-day suspension
151|K|10-day suspension
152|K|council condemned him and removed chair positions
153|U|chaired ballot-measure committee
154|K|Article 15 nonjudicial punishment
155|A:for|sponsored judicial-conduct transparency law
156|K|reassigned and privileges restricted as discipline
157|U|PDC closed for lack of jurisdiction
158|U|county settled without admitting liability
159|U|policy support
160|K|Ethics Board found per se conflict of interest
161|U|complaint rejected by committee
162|U|committee assignment
163|U|committee appointment
164|U|PDC found no violation
165|U|behind on a loan; not ethics
166|U|plaintiff in dismissed constitutional challenge
167|U|complaints dismissed
168|U|court ruled for county
169|U|award
170|K|censured by House
171|U|indicted but charges later dropped (see 172)
172|U|charges dropped
173|K|fined for disclosure omission
174|U|signed opinion disciplining someone else
175|K|ethics panel found campaign-conduct violation
176|U|valuations upheld
177|K|Florida Bar public reprimand
178|K|~$20,000 late-report fines, later paid
179|U|court reversed her office's disqualification
180|K|no-contest plea, probation and fines
181|K|guilty plea to assault; vacated after plea terms (diversion, edge)
182|U|named defendant, appeal dismissed
183|U|licensing bill
184|U|unrelated law
185|U|already anti_corruption:for
186|K|judicial conduct admonishment
187|K|ethics board declined to waive late fee
188|U|recused from vote
189|A:for|lead sponsor of Anti-Corruption Act
190|U|praise statement
191|K|charged with misdemeanor trespassing
192|U|questionnaire answer
193|U|cleared to run
194|U|declined to endorse
195|U|investigation of court backlog; no finding against him
196|U|policy argument
197|U|statement
198|U|statement
199|U|statement
# idx|decision|note
43|U|REVISED: office-level finding about response times, not personal (edge)
200|U|statement
201|K|state letter of noncompliance to feedlot he co-owns (edge: personal business)
202|A:for|urged public release of investigation report
203|A:for|moved to release council emails to Ethics Commission
204|U|appointed parliamentarian
205|U|committee roles
206|K|House reprimand
207|U|software vote
208|U|accusations against someone else
209|U|open letter
210|U|award
211|U|unrelated bill
212|U|complaint dismissed, no prima facie violation
213|K|settled quo warranto over hiring stepdaughter with binding conditions (edge)
214|U|hire reversed with apology, no official action
215|U|testimony
216|U|joined appeal
217|U|proposal defeated
218|U|conflict alleged, said complied; no finding
219|U|critics alleged conflict; no finding
220|U|bio
221|U|bio
222|U|bio
223|K|FPPC settlement, $27,000 combined fine
224|U|statement
