measure	chamber	roll	date	question	yea	nay	earlier_rolls	bill_type	status	title	description	disposition	reason
HB1003	house	1607872	2025-05-15	fourth reading	60	21	1607869	B	4	Crimes and punishments; modifying age limitations for certain prohibited acts.	Crimes and punishments; modifying age limitations for certain prohibited acts.		
HB1062	house	1608329	2025-03-10	third reading	60	33		B	4	Alcoholic beverages; employee license; age; restrictions; effective date.	Alcoholic beverages; employee license; age; restrictions; effective date.		
HB1393	house	1607831	2025-03-26	third reading	71	23		B	4	Special education; individual education program; parental consent; effective date; emergency.	Special education; individual education program; parental consent; effective date; emergency.		
HB1427	house	1662881	2026-03-12	fourth reading	57	20	1605204	B	4	Tax credit; expanding forms of taxation for which a credit is allowed; clean-burning vehicle fuel; hydrogen fuel cells; effective date.	Tax credit; expanding forms of taxation for which a credit is allowed; clean-burning vehicle fuel; hydrogen fuel cells; effective date.		
HB1575	house	1604610	2025-05-14	fourth reading	59	28	1604607	B	4	Public assistance programs; directing certain feasibility study and request for information; requiring certain report.	Public assistance programs; directing certain feasibility study and request for information; requiring certain report.		
HB1576	house	1605042	2025-05-22	fourth reading	68	21	1605037	B	4	Medicaid; terms; Oklahoma Health Care Authority; coverage; Medicaid; criteria; medical necessity; discretion; Chief Operating Officer; Health Information Portability and Accountability Act; scientific research; consent; research; opting-out; minors; promulgation of rules and regulations; waiver application; effective date; emergency.	Medicaid; terms; Oklahoma Health Care Authority; coverage; Medicaid; criteria; medical necessity; discretion; Chief Operating Officer; Health Information Portability and Accountability Act; scientific research; consent; research; opting-out; minors; promulgation of rules and regulations; waiver application; effective date; emergency.		
HB1601	house	1606324	2025-03-17	third reading	58	27		B	4	Schools; creating the Advancing Rights for Caregiving, Health, and Extended Recovery (Maternity Leave Protection for Teachers) Act; effective date.	Schools; creating the Advancing Rights for Caregiving, Health, and Extended Recovery (Maternity Leave Protection for Teachers) Act; effective date.		
HB1727	house	1605731	2025-05-28	fourth reading	60	27	1605726	B	4	Higher education; Oklahoma Higher Learning Access Program; eligibility for children of certain teachers; effective date; emergency.	Higher education; Oklahoma Higher Learning Access Program; eligibility for children of certain teachers; effective date; emergency.		
HB1850	house	1605673	2025-05-14	fourth reading	60	23	1605670	B	4	Trusts; creating the Uniform Trust Code; definitions; creditor claims; revocable trusts; trustees; duties and powers of trustee; trustee liability; severability; effective date.	Trusts; creating the Uniform Trust Code; definitions; creditor claims; revocable trusts; trustees; duties and powers of trustee; trustee liability; severability; effective date.		
HB1955	house	1605594	2025-05-15	fourth reading	52	28	1605591	B	4	Education; Education Leadership Oklahoma program; clarifying award coverage; increasing maximum amount; repayment; reimbursement; effective date.	Education; Education Leadership Oklahoma program; clarifying award coverage; increasing maximum amount; repayment; reimbursement; effective date.		
