bill	chamber	roll	date	yea	nay	question	title	disposition	reason
H3021	senate	1698249	2026-05-14	22	22	concurrence	Small Business Regulatory Freedom Act	no-fan-out	the South Carolina Senate is not on the November 2026 ballot, so this roll matches no candidate and would write no record
H3276	house	1541752	2025-04-09	85	25	passage	SC Hands-Free Act	not-selected:filter-4	not the chamber's decisive roll on the measure; a later House vote was taken
H3276	house	1567547	2025-05-07	77	37	concurrence	SC Hands-Free Act	batch-01	imported
H3309	senate	1567664	2025-05-07	35	11	concurrence	Electrical Utilities	no-fan-out	the South Carolina Senate is not on the November 2026 ballot, so this roll matches no candidate and would write no record
H3557	house	1683382	2026-04-15	85	22	concurrence	Candidate filing	dropped:filter-5	shortens candidate filing and adds a party certification fee, but also adds a reopening procedure and a rule construing errors in favor of ballot access; the strands run both ways
H3558	house	1505836	2025-03-05	76	29	passage	Commissioners to Article V Convention	dropped:filter-5	rules for South Carolina commissioners at a federal Article V convention; the gift ban and removal power point toward anti-corruption while the media-silence rules point away
H3558	house	1711985	2026-06-25	74	27	veto_override	Commissioners to Article V Convention	dropped:filter-5	rules for South Carolina commissioners at a federal Article V convention; the gift ban and removal power point toward anti-corruption while the media-silence rules point away
H3558	senate	1711986	2026-06-25	20	5	veto_override	Commissioners to Article V Convention	no-fan-out	the South Carolina Senate is not on the November 2026 ballot, so this roll matches no candidate and would write no record
H4025	house	1580132	2025-05-28	88	25	conference_report	Appropriations Bill, 2025-2026	dropped:appropriations	the annual appropriations act; the campaign does not score a budget vote
H4163	senate	1694946	2026-05-06	28	12	passage	South Carolina High School Athletic Association	no-fan-out	the South Carolina Senate is not on the November 2026 ballot, so this roll matches no candidate and would write no record
H4163	senate	1695472	2026-05-07	24	17	passage	South Carolina High School Athletic Association	no-fan-out	the South Carolina Senate is not on the November 2026 ballot, so this roll matches no candidate and would write no record
H4216	house	1566525	2025-05-06	68	46	passage	Income tax	not-selected:filter-4	not the chamber's decisive roll on the measure; a later House vote was taken
H4216	house	1567329	2025-05-07	64	47	passage	Income tax	not-selected:filter-4	not the chamber's decisive roll on the measure; a later House vote was taken
H4216	house	1659394	2026-03-10	71	49	concurrence	Income tax	batch-01	imported
H4270	house	1688868	2026-04-23	77	23	passage	Evictions	dropped:filter-5	removes eviction filings from the public index after seven years; eviction procedure has no supply or cost effect, so housing affordability does not fit (Maryland HB 767 retraction)
