bill	disposition	reason	house_roll	senate_roll	title
HB2005	drop:filter-5	civil commitment standards, fitness to proceed and facility siting in one bill; widening involuntary treatment is a contested direction, not a settled one	1595861	1595586	Relating to behavioral health; and declaring an emergency.
HB2010	candidate		1501276		Relating to funding to improve access to health care; and prescribing an effective date.
HB2015	drop:screened	directs OHA rulemaking and a study of residential mental health settings; study-led		1594018	Relating to behavioral health; and declaring an emergency.
HB2016	drop:screened	removes licensing-board discipline records from public sources after three or five years; reads as privacy and as reduced transparency	1551686	1589510	Relating to discipline imposed by the Oregon Board of Licensed Professional Counselors and Therapists.
HB2024	drop:filter-5	behavioral health workforce grants with a $45 million appropriation; appropriation-led		1594403	Relating to the behavioral health workforce; and declaring an emergency.
HB2059	drop:filter-5	residential behavioral health capacity with a $90 million appropriation; appropriation-led		1594477	Relating to adult behavioral health facilities; and declaring an emergency.
HB2072	drop:filter-5	extends three forest products harvest taxes and sets rates; a tax bill with no area carrying a direction	1591551	1593323	Relating to forest products harvest taxation; prescribing an effective date; and providing for revenue raising that requires approval by a three-fifths majority.
HB2081	batch-06	judged and imported	1563826	1591137	Relating to state finance; and prescribing an effective date.
HB2138	batch-02	judged and imported	1595649	1594152	Relating to land use; and declaring an emergency.
HB2205	drop:screened	changes OHA contracts with coordinated care organisations; administrative	1551624		Relating to coordinated care organization contracts.
HB2256	drop:filter-5	narrow remedy rule for conservation buyers of unlawfully created parcels	1507276	1564944	Relating to sales of units of land not lawfully established for conservation purposes.
HB2321	drop:screened	study only - directs a report on the property tax system, changes no law	1587610	1594012	Relating to ballot measures addressing property taxes; and prescribing an effective date.
HB2342	drop:screened	raises wildlife and commercial fishing fees; fee bill	1595873	1593982	Relating to fees concerning wildlife; and prescribing an effective date.
HB2345	drop:screened	renames a fund and repeals a centre; housekeeping	1494951	1591046	Relating to Oregon hatcheries.
HB2347	drop:screened	technical land-use changes plus planning aid to tribes; no area fits		1562288	Relating to land use planning.
HB2351	drop:screened	changes how a business reports benefit-program data; administrative	1583773	1595037	Relating to the economic development information of businesses; and prescribing an effective date.
HB2356	drop:screened	adds land inside Metro urban growth boundary to the Metro district; local boundary mechanics	1494947	1584727	Relating to a metropolitan service district boundaries.
HB2370	drop:screened	raises the PUC fee on public utilities to cover commission costs; fee bill	1585498	1591122	Relating to fees imposed by the Public Utility Commission; and declaring an emergency.
HB2385	batch-03	judged and imported	1583099	1580317	Relating to restrictions on 340B covered entities; and prescribing an effective date.
HB2453	candidate		1548893	1587703	Relating to education; and declaring an emergency.
HB2508	drop:screened	directs a method for electronic student data; administrative		1595039	Relating to student data; and declaring an emergency.
HB2511	drop:filter-5	widens the education workforce data the department collects; administrative	1505175	1566711	Relating to education workforce data.
HB2514	drop:filter-5	raises an education service district bonding limit; fiscal capacity, no direction	1589685	1587791	Relating to education service district indebtedness.
HB2530	batch-07	judged and imported		1573092	Relating to school buses.
HB2548	drop:screened	study only - directs PSU and LPRO to study farmworker labour standards and report	1595068	1595893	Relating to labor standards for agricultural workers; and declaring an emergency.
HB2556	drop:screened	names PSU the state urban research university; designation only	1491906		Relating to Portland State University designation.
HB2558	drop:screened	raises outfitter and guide fees and adds a registration; fee bill	1576416	1588732	Relating to activities regulated by the State Marine Board; and prescribing an effective date.
HB2563	batch-03	judged and imported	1540033	1587494	Relating to explanations required in connection with premium increases upon renewals of certain insurance policies; and prescribing an effective date.
HB2586	batch-02	judged and imported	1509262	1573101	Relating to nonresident tuition exemption for asylum seekers; and declaring an emergency.
HB2594	drop:screened	requires dental laboratories to register; narrow licensing		1575147	Relating to dental laboratories; and prescribing an effective date.
HB2677	candidate		1590931	1593041	Relating to juvenile records; and prescribing an effective date.
HB2680	drop:filter-5	glazing contractor certification on large public works; narrow licensing	1551804	1583173	Relating to certifications required for work with fenestration systems in public buildings; and prescribing an effective date.
HB2682	drop:screened	creates an advisory committee on services for young children; study body only		1565963	Relating to services for young children with special needs.
HB2684	batch-08	judged and imported	1591030		Relating to integrated pest management.
HB2688	drop:filter-5	extends prevailing wage to off-site custom fabrication; labor relations, and no research area covers union or wage-standard questions	1595456	1595879	Relating to the application of a prevailing rate of wage to off-site custom work for use in public works; and prescribing an effective date.
HB2695	drop:filter-5	composition of the OHSU presidential search committee; governance	1538190	1574184	Relating to duties of the Oregon Health and Science University Board of Directors.
HB2698	drop:filter-5	sets a homeownership rate goal and a dashboard; a target and reporting, no operative duty		1574169	Relating to homeownership goal; and declaring an emergency.
HB2725	drop:screened	limits which port districts must be party to a strategic investment contract; narrow		1595051	Relating to the inclusion of ports in strategic investment program agreements; and prescribing an effective date.
HB2728	drop:screened	adds overtime data to a PERS retirement letter; administrative	1592860		Relating to member data under the Public Employees Retirement System; and prescribing an effective date.
HB2803	drop:screened	raises water-related fees; fee bill	1595905	1594947	Relating to fees concerning water; and declaring an emergency.
HB2804	drop:screened	abolishes the juvenile panel of the PSRB and changes its membership; structural		1563531	Relating to the Psychiatric Security Review Board; and declaring an emergency.
HB2805	drop:screened	lets an agency raise licence fees; fee bill	1585744	1591489	Relating to food establishment licenses.
HB2806	drop:screened	lets an agency raise licence fees; fee bill	1585487	1591649	Relating to license fees for commercial instruments.
HB2808	drop:screened	raises well fees; fee bill	1593927	1594991	Relating to fees concerning wells; and declaring an emergency.
HB2809	drop:screened	raises the pesticide registration fee cap; fee bill	1585485	1591128	Relating to pesticide registration fees; and prescribing an effective date.
HB2819	drop:screened	House roll superseded by a 43-5 concurrence; fire-protection citations, narrow	1519580		Relating to fire protection enforcement procedures.
HB2900	drop:screened	changes the definition of contract teacher; narrow	1548890	1587690	Relating to teachers.
HB2931	candidate		1567343	1576144	Relating to the interstate bridge replacement program.
HB2932	drop:screened	lets a public official be paid for teaching at certain schools; narrow	1547201		Relating to exceptions to prohibited use of official position or office.
HB2933	drop:screened	approves Criminal Justice Commission rule changes; ratification	1495078	1570627	Relating to the Oregon Criminal Justice Commission.
HB2944	drop:filter-5	penalties under the public employee collective bargaining act; labor relations, no area fits	1578774	1575042	Relating to penalties for failure to comply with certain requirements under the laws governing public employee collective bargaining.
