bill	chamber	roll	date	yea	nay	question	superseded_same_chamber	disposition	title
HF189	S	1571826	2025-05-14	31	13	passage		dropped:filter-5 — nonpublic school athletic eligibility maps to no research area with an honest direction	A bill for an act relating to the eligibility of students enrolled in nonpublic schools to compete in extracurricular interscholastic athletic contests or competitions pr
HF295	H	1520125	2025-03-18	65	32	passage		batch-03	A bill for an act relating to accreditation of postsecondary educational institutions, prohibiting adverse action by accrediting agencies against certain postsecondary ed
HF295	S	1551298	2025-04-17	32	15	passage		batch-03	A bill for an act relating to accreditation of postsecondary educational institutions, prohibiting adverse action by accrediting agencies against certain postsecondary ed
HF299	H	1511922	2025-03-10	58	30	passage		batch-01	A bill for an act relating to the provision of information relating to immunization exemptions. (Formerly HF 34.) Effective date: 07/01/2025.
HF299	S	1560174	2025-04-29	32	16	passage		batch-01	A bill for an act relating to the provision of information relating to immunization exemptions. (Formerly HF 34.) Effective date: 07/01/2025.
HF314	H	1509567	2025-03-10	71	18	passage		dropped:filter-5 — waiving the preplacement investigation for close relatives sets easier relative adoption against child-safety screening	A bill for an act authorizing the waiver of preplacement investigations and reports in certain adoption proceedings. (Formerly HSB 41.) Effective date: 07/01/2025.
HF314	S	1539230	2025-04-07	36	11	passage		dropped:filter-5 — waiving the preplacement investigation for close relatives sets easier relative adoption against child-safety screening	A bill for an act authorizing the waiver of preplacement investigations and reports in certain adoption proceedings. (Formerly HSB 41.) Effective date: 07/01/2025.
HF316	H	1512436	2025-03-10	61	28	passage		deferred:needs-full-read — career education, middle school career exploration and credential seals	A bill for an act relating to career education, including middle school career exploration and industry-recognized credential seals and certificates for high school stude
HF390	H	1515929	2025-03-12	67	28	passage		dropped:filter-5 — moves the child care worker physical examination from before hiring to within six months after; a timing change with no honest direction	A bill for an act relating to physical examinations of personnel working in licensed or registered child care facilities. (Formerly HSB 7.) Effective date: 07/01/2025.
HF390	S	1548370	2025-04-15	32	15	passage		dropped:filter-5 — moves the child care worker physical examination from before hiring to within six months after; a timing change with no honest direction	A bill for an act relating to physical examinations of personnel working in licensed or registered child care facilities. (Formerly HSB 7.) Effective date: 07/01/2025.
HF395	H	1568703	2025-05-08	64	20	passage		deferred:needs-full-read — approved courses of instruction for school bus drivers	A bill for an act relating to approved courses of instruction for school bus drivers, and including effective date provisions. (Formerly HSB 107.) Effective date: 01/01/2
HF398	H	1513469	2025-03-11	62	29	passage		batch-04	A bill for an act relating to the duties of the director of the department of corrections, the board of corrections, superintendents, and district directors. (Formerly HS
HF398	S	1551283	2025-04-17	32	15	passage		batch-04	A bill for an act relating to the duties of the director of the department of corrections, the board of corrections, superintendents, and district directors. (Formerly HS
HF437	H	1520490	2025-03-18	60	37	passage		batch-03	A bill for an act establishing a center for intellectual freedom at the university of Iowa. (Formerly HSB 52.) Effective date: 07/01/2025.
HF437	S	1549033	2025-04-15	32	15	passage		batch-03	A bill for an act establishing a center for intellectual freedom at the university of Iowa. (Formerly HSB 52.) Effective date: 07/01/2025.
HF440	H	1520446	2025-03-18	64	33	passage		batch-03	A bill for an act relating to tuition, degree programs, employment, and related matters pertaining to students enrolled at regents institutions. (Formerly HSB 51.) Effect
HF516	H	1553649	2025-04-22	61	30	passage		batch-04	A bill for an act relating to medical residency and fellowship positions, including priority for admission to the university of Iowa's colleges of medicine and dentistry,
HF516	S	1547671	2025-04-14	34	11	passage		batch-04	A bill for an act relating to medical residency and fellowship positions, including priority for admission to the university of Iowa's colleges of medicine and dentistry,
HF571	H	1667402	2026-03-23	63	27	passage		batch-04	A bill for an act relating to protections for medical practitioners and health care institutions, including those related to the exercise of conscience, whistleblower act
HF571	S	1657715	2026-03-09	30	16	passage		batch-04	A bill for an act relating to protections for medical practitioners and health care institutions, including those related to the exercise of conscience, whistleblower act
HF706	S	1551301	2025-04-17	34	13	passage		batch-01	A bill for an act relating to open meetings and open records, providing penalties, and making penalties applicable. (Formerly HF 416.) Effective date: 07/01/2025.
HF766	H	1528989	2025-03-25	72	25	passage		deferred:needs-full-read — motor vehicle window tint limits; the new transparency standard was not read	A bill for an act relating to motor vehicle window tint, and making penalties applicable. (Formerly HF 206.) Effective date: 07/01/2026.
HF766	S	1667844	2026-03-23	31	16	passage		deferred:needs-full-read — motor vehicle window tint limits; the new transparency standard was not read	A bill for an act relating to motor vehicle window tint, and making penalties applicable. (Formerly HF 206.) Effective date: 07/01/2026.
HF767	H	1529302	2025-03-27	60	32	passage		batch-02	A bill for an act concerning private sector employee drug testing. (Formerly HSB 26.) Effective date: 07/01/2025.
HF767	S	1571839	2025-05-14	31	14	passage		batch-02	A bill for an act concerning private sector employee drug testing. (Formerly HSB 26.) Effective date: 07/01/2025.
HF785	H	1529045	2025-03-26	60	36	passage		batch-03	A bill for an act modifying provisions related to charter school board member requirements. (Formerly HSB 105.) Effective date: 07/01/2025.
HF785	S	1541714	2025-04-09	32	15	passage		batch-03	A bill for an act modifying provisions related to charter school board member requirements. (Formerly HSB 105.) Effective date: 07/01/2025.
HF805	H	1548820	2025-04-15	62	32	passage		dropped:filter-5 — letting trained dental assistants practice without board registration sets workforce supply against patient-safety oversight	A bill for an act relating to the practice of dental assistants without registration by the dental board. (Formerly HF 340.) Effective date: 07/01/2025.
HF805	S	1542302	2025-04-09	32	15	passage		dropped:filter-5 — letting trained dental assistants practice without board registration sets workforce supply against patient-safety oversight	A bill for an act relating to the practice of dental assistants without registration by the dental board. (Formerly HF 340.) Effective date: 07/01/2025.
HF856	H	1572561	2025-05-13	59	32	passage		batch-01	A bill for an act prohibiting public entities from engaging in certain activities relating to diversity, equity, and inclusion, creating a private cause of action, and in
HF856	S	1569099	2025-05-09	34	16	passage		batch-01	A bill for an act prohibiting public entities from engaging in certain activities relating to diversity, equity, and inclusion, creating a private cause of action, and in
